time,speed,throttle
-9.53674e-07,44,35
0.0542991,44,45
0.0794981,44,45
0.104337,46,45
0.130625,43,45
0.154781,43,45
0.204717,43,45
0.230253,43,45
0.255768,47,45
0.280582,43,45
0.330972,43,45
0.355118,43,45
0.380197,43,45
0.429232,46,45
0.45421,44,45
0.479217,46,45
0.530539,46,45
0.555578,48,45
0.5802,48,45
0.607532,49,45
0.656484,49,45
0.7051,51,45
0.730849,55,45
0.756233,55,45
0.780542,53,45
0.831336,54,45
0.855724,56,45
0.981153,60,45
1.03151,60,45
1.05792,62,45
1.08112,62,45
1.10558,64,45
1.13002,64,45
1.15543,66,45
1.18017,66,45
1.20599,66,45
1.25761,68,45
1.28015,70,45
1.30389,70,45
1.3284,73,45
1.35402,73,45
1.40448,75,45
1.42863,75,45
1.47942,78,45
1.50415,78,45
1.5551,80,45
1.58044,83,45
1.60684,83,45
1.6813,86,45
1.70924,88,45
1.73244,88,45
1.75606,91,45
1.78154,91,45
1.80587,91,45
1.83306,94,45
1.85651,94,45
1.90676,97,45
1.93173,99,45
1.95796,99,45
1.98258,99,45
2.00682,100,45
2.03219,100,45
2.05646,102,45
2.08283,103,45
2.1072,102,45
2.13233,102,45
2.15655,103,45
2.18262,103,45
2.21194,103,45
2.23175,104,45
2.25697,108,45
2.28213,104,45
2.33213,103,45
2.36018,103,45
2.40608,119,45
2.43239,103,45
2.45847,103,45
2.48211,103,45
2.50798,103,45
2.53321,102,45
2.55793,102,45
2.6075,101,45
2.63493,100,45
2.65705,100,45
2.70735,100,45
2.73401,100,45
2.75822,116,45
2.7826,100,45
2.80849,101,45
2.83252,101,45
2.85853,101,45
2.88357,102,45
2.90803,118,45
2.93391,103,45
2.95883,118,45
2.98471,103,45
3.00781,103,45
3.05787,103,45
3.08312,103,45
3.10844,103,45
3.13321,103,45
3.18379,104,45
3.23457,109,45
3.33321,107,45
3.38274,107,45
3.40832,107,45
3.43431,107,45
3.48376,123,45
3.50802,107,45
3.53483,107,45
3.55937,106,45
3.58517,106,45
3.61041,105,45
3.63409,105,45
3.65947,105,45
3.68482,108,45
3.7088,104,45
3.75929,108,45
3.78408,104,45
3.80868,104,45
3.83434,105,45
3.85885,105,45
3.91003,109,45
3.93397,105,45
3.95962,104,45
3.98338,104,45
4.00864,104,45
4.03366,103,45
4.05857,103,45
4.08478,101,45
4.10814,101,45
4.13496,100,45
4.15887,100,45
4.21034,101,45
4.23413,104,45
4.31205,107,45
4.33353,107,45
4.35888,111,45
4.38571,111,45
4.40756,114,45
4.43281,114,45
4.45735,114,45
4.48264,114,45
4.50741,114,45
4.53176,114,45
4.55748,114,45
4.58274,114,45
4.6083,112,45
4.63258,112,45
4.65871,112,45
4.68421,110,45
4.70888,110,45
4.73326,110,45
4.75829,110,45
4.81039,111,45
4.83442,126,45
4.88666,108,45
4.9403,108,45
4.98514,110,45
5.00989,108,45
