time,speed,throttle
0.00086689,80,35
0.0263119,112,45
0.051698,80,45
0.0770569,80,45
0.102614,80,45
0.128093,80,45
0.153578,80,45
0.178976,112,45
0.20439,80,45
0.230733,80,45
0.256164,80,45
0.282292,81,45
0.30779,82,45
0.333301,82,45
0.358752,82,45
0.384176,82,45
0.409789,83,45
0.435285,83,45
0.460855,115,45
0.486198,116,45
0.511441,86,45
0.536995,87,45
0.562552,87,45
0.587948,86,45
0.613474,119,45
0.639049,119,45
0.664612,119,45
0.690197,88,45
0.715685,88,45
0.741337,89,45
0.767317,89,45
0.792678,91,45
0.81803,91,45
0.843422,91,45
0.868746,92,45
0.89404,92,45
0.92193,94,45
0.947394,94,45
0.972702,95,45
0.998046,95,45
1.02348,96,45
1.04895,96,45
1.07445,96,45
1.10034,96,45
1.12603,97,45
1.15146,97,45
1.17668,98,45
1.20197,114,45
1.22718,99,45
1.25258,99,45
1.27776,99,45
1.30299,99,45
1.32863,100,45
1.35385,100,45
1.37919,101,45
1.40438,101,45
1.42958,101,45
1.45479,102,45
1.48004,102,45
1.50537,102,45
1.53094,103,45
1.55667,104,45
1.58261,108,45
1.60793,105,45
1.63329,105,45
1.65872,105,45
1.68431,105,45
1.71012,123,45
1.73557,110,45
1.76101,110,45
1.78638,125,45
1.81191,111,45
1.83726,110,45
1.8651,111,45
1.8911,111,45
1.9177,112,45
1.94313,112,45
1.96869,112,45
1.99833,112,45
2.02383,114,45
2.04928,114,45
2.07475,114,45
2.10007,115,45
2.12546,115,45
2.15078,115,45
2.17633,116,45
2.20231,116,45
2.22783,117,45
2.25333,117,45
2.27861,117,45
2.30385,118,45
2.32919,119,45
2.35474,128,45
2.38017,128,45
2.40562,130,45
2.43106,130,45
2.45666,135,45
2.48206,133,45
2.50752,136,45
2.5328,136,45
2.55825,140,45
2.58379,133,45
2.60922,133,45
2.63458,133,45
2.65993,134,45
2.68539,134,45
2.71074,135,45
2.73615,136,45
2.76174,136,45
2.7872,136,45
2.81268,135,45
2.83803,135,45
2.86341,135,45
2.88881,135,45
2.91431,135,45
2.93974,135,45
2.96508,135,45
2.99061,135,45
3.01602,135,45
