time,speed,throttle
0,183,30
0.016957,165,40
0.040561,166,40
0.065048,169,40
0.0891991,233,40
0.113216,172,40
0.13971,188,40
0.188666,175,40
0.215942,174,40
0.239133,239,40
0.267045,191,40
0.288924,173,40
0.340511,191,40
0.36431,191,40
0.388743,191,40
0.414494,166,40
0.466497,189,40
0.489288,185,40
0.514516,182,40
0.538741,172,40
0.564711,174,40
0.589567,172,40
0.613783,173,40
0.64207,191,40
0.668029,175,40
0.689918,239,40
0.714346,177,40
0.745748,177,40
0.789194,246,40
0.815929,180,40
0.840113,182,40
0.865617,178,40
0.889882,178,40
0.914544,178,40
0.94039,243,40
0.964065,179,40
0.991328,179,40
1.01924,178,40
1.04151,179,40
1.06517,180,40
1.08972,180,40
1.1168,246,40
1.14023,182,40
1.16614,182,40
1.18942,181,40
1.21438,247,40
1.2408,182,40
1.26534,246,40
1.29117,182,40
1.31716,186,40
1.34098,187,40
1.36762,187,40
1.39067,188,40
1.4188,188,40
1.44168,189,40
1.46654,185,40
1.49057,185,40
1.51578,248,40
1.54224,184,40
1.56596,184,40
1.59202,184,40
1.61523,185,40
1.63988,185,40
1.66715,184,40
1.69052,185,40
1.7178,184,40
1.74089,188,40
1.76797,189,40
1.79085,189,40
1.81818,190,40
1.84145,191,40
1.86535,191,40
1.89141,188,40
1.91573,189,40
1.94034,189,40
1.97046,188,40
1.99126,192,40
2.01587,224,40
2.04093,193,40
2.06814,194,40
2.09141,228,40
2.1159,228,40
2.14157,193,40
2.17121,193,40
2.19238,225,40
2.21882,198,40
2.24076,229,40
2.26768,198,40
2.29133,197,40
2.31663,231,40
2.34328,199,40
2.36647,199,40
2.39167,230,40
2.4163,200,40
2.44233,233,40
2.46585,201,40
2.4915,195,40
2.51647,194,40
2.54124,226,40
2.59196,194,40
2.61731,190,40
2.64098,192,40
2.66575,192,40
2.71633,195,40
2.74317,199,40
2.76766,197,40
2.79144,196,40
2.81768,198,40
2.84326,199,40
2.87125,200,40
2.89217,201,40
2.91791,200,40
2.94297,231,40
2.96626,199,40
2.99176,193,40
3.01677,224,40
3.04362,190,40
3.09178,195,40
3.11819,227,40
3.14279,196,40
3.19268,231,40
3.21782,199,40
3.24346,231,40
3.26655,199,40
3.29913,199,40
3.31651,199,40
3.34275,194,40
3.36697,193,40
3.39196,195,40
3.42046,195,40
3.44484,193,40
3.51819,191,40
3.54976,195,40
3.56784,195,40
3.59325,197,40
3.61731,198,40
3.64466,199,40
3.66768,231,40
3.69235,195,40
3.71818,195,40
3.74339,227,40
3.79274,198,40
3.81743,203,40
3.84353,205,40
3.86917,207,40
3.89357,209,40
3.91735,206,40
3.96742,231,40
3.99317,197,40
4.01814,226,40
4.04269,192,40
4.06928,192,40
4.09413,192,40
4.11729,193,40
4.14362,227,40
4.1934,199,40
4.20301,200,40
4.20497,200,40
4.24375,203,40
4.26919,202,40
4.29625,202,40
4.32076,199,40
4.34453,200,40
4.36858,235,40
4.39373,239,40
4.41825,240,40
4.4688,211,40
4.49639,243,40
4.52066,216,40
4.54437,215,40
4.59288,247,40
4.62056,248,40
4.64355,216,40
4.69537,205,40
4.71867,203,40
4.74377,207,40
4.76828,207,40
4.79455,238,40
4.81913,208,40
4.84447,241,40
4.8702,215,40
4.91947,210,40
4.94476,211,40
4.97064,211,40
4.99639,207,40
5.01927,198,40
