time,speed,throttle
-1.90735e-06,270,0.35
0.0215392,270,0.45
0.047343,270,0.45
0.1198,271,0.45
0.145432,271,0.45
0.170049,272,0.45
0.195491,273,0.45
0.244765,275,0.45
0.27091,278,0.45
0.321727,278,0.45
0.371988,281,0.45
0.424454,283,0.45
0.498901,286,0.45
0.523726,287,0.45
0.547528,288,0.45
0.572834,289,0.45
0.597881,290,0.45
0.623256,291,0.45
0.672343,293,0.45
0.698224,294,0.45
0.72226,295,0.45
0.747915,300,0.45
0.772644,297,0.45
0.797948,297,0.45
0.848032,303,0.45
0.897502,303,0.45
0.922918,302,0.45
0.948037,302,0.45
0.972195,303,0.45
1.00073,304,0.45
1.02286,305,0.45
1.05213,305,0.45
1.07426,306,0.45
1.09798,307,0.45
1.12326,307,0.45
1.20093,309,0.45
1.25298,311,0.45
1.27812,311,0.45
1.32656,313,0.45
1.34879,313,0.45
1.37715,314,0.45
1.42591,315,0.45
1.44753,316,0.45
1.47363,316,0.45
1.49961,317,0.45
1.52551,317,0.45
1.57432,323,0.45
1.59917,359,0.45
1.62428,327,0.45
1.6491,329,0.45
1.6749,364,0.45
1.69877,332,0.45
1.72457,330,0.45
1.74833,366,0.45
1.77449,363,0.45
1.8021,363,0.45
1.82351,363,0.45
1.84963,363,0.45
1.89965,334,0.45
1.92362,332,0.45
1.94922,333,0.45
1.97489,365,0.45
1.99823,335,0.45
2.024,333,0.45
2.04874,366,0.45
2.07506,366,0.45
2.10232,366,0.45
2.12431,334,0.45
2.14956,366,0.45
2.17353,335,0.45
2.19954,367,0.45
2.2256,335,0.45
2.27557,336,0.45
2.30248,336,0.45
2.3262,368,0.45
2.34989,368,0.45
2.37607,368,0.45
2.4241,369,0.45
2.44947,337,0.45
2.47458,369,0.45
2.4999,337,0.45
2.54912,338,0.45
2.57613,371,0.45
2.64937,338,0.45
2.67505,338,0.45
2.70007,371,0.45
2.72661,371,0.45
2.75049,371,0.45
2.7754,371,0.45
2.80065,371,0.45
2.82507,342,0.45
2.87445,342,0.45
2.90149,372,0.45
2.92495,342,0.45
2.97533,377,0.45
2.99953,380,0.45
3.02404,349,0.45
3.05189,383,0.45
3.07746,353,0.45
3.10231,381,0.45
3.12506,350,0.45
3.15075,382,0.45
3.22458,382,0.45
3.24814,382,0.45
3.2728,382,0.45
3.29874,382,0.45
3.32321,382,0.45
3.34883,382,0.45
3.37318,350,0.45
3.45055,350,0.45
3.5003,350,0.45
3.52858,382,0.45
3.55166,350,0.45
3.57484,510,0.45
3.62611,382,0.45
3.65079,382,0.45
3.67372,350,0.45
3.70254,382,0.45
3.72516,382,0.45
3.77722,382,0.45
3.80138,382,0.45
3.85213,381,0.45
3.87657,349,0.45
3.90129,381,0.45
3.92583,381,0.45
3.95185,349,0.45
3.97965,381,0.45
4.00202,381,0.45
4.02603,381,0.45
4.05176,349,0.45
4.07654,349,0.45
4.10127,381,0.45
4.12634,349,0.45
4.15192,349,0.45
4.17565,381,0.45
4.20254,381,0.45
4.22734,381,0.45
4.25256,349,0.45
4.27733,381,0.45
4.32613,349,0.45
4.35238,349,0.45
4.40188,381,0.45
4.4283,381,0.45
4.45201,349,0.45
4.47646,349,0.45
4.5016,381,0.45
4.52698,349,0.45
4.55222,381,0.45
4.57674,381,0.45
4.60207,349,0.45
4.62737,381,0.45
4.65178,381,0.45
4.67714,381,0.45
4.70268,381,0.45
4.72854,349,0.45
4.75196,349,0.45
4.80292,381,0.45
4.83059,349,0.45
4.88141,349,0.45
4.90113,381,0.45
4.93113,381,0.45
4.95135,381,0.45
5.00203,351,0.45
5.05196,381,0.45
5.07662,381,0.45
5.10265,381,0.45
5.12711,381,0.45
5.20602,349,0.45
5.22762,349,0.45
5.25353,349,0.45
5.30328,381,0.45
5.32654,381,0.45
5.35268,381,0.45
5.37795,349,0.45
5.47869,380,0.45
5.50287,348,0.45
5.55414,380,0.45
5.62743,380,0.45
5.6781,348,0.45
5.70467,380,0.45
5.72859,348,0.45
5.80273,348,0.45
5.82874,380,0.45
5.8533,348,0.45
5.87904,380,0.45
5.90323,380,0.45
5.95389,348,0.45
6.0034,380,0.45
6.02812,380,0.45
6.05233,348,0.45
6.07882,350,0.45
6.15312,348,0.45
6.18036,350,0.45
6.20346,380,0.45
6.22853,348,0.45
6.2554,380,0.45
6.27856,348,0.45
6.30462,380,0.45
6.32803,348,0.45
6.3771,348,0.45
6.40162,380,0.45
6.42741,380,0.45
6.45167,380,0.45
6.47738,380,0.45
6.50238,350,0.45
6.52778,348,0.45
6.55271,380,0.45
6.60257,348,0.45
6.62763,348,0.45
6.65238,380,0.45
6.67866,380,0.45
6.70309,380,0.45
6.73006,380,0.45
6.75511,380,0.45
6.77874,380,0.45
6.8069,348,0.45
6.82856,348,0.45
6.87875,380,0.45
6.92903,380,0.45
6.95474,348,0.45
6.97921,380,0.45
7.00435,380,0.45
7.02988,380,0.45
7.05422,380,0.45
7.07977,380,0.45
7.12919,348,0.45
7.18054,348,0.45
7.20762,380,0.45
7.22983,380,0.45
7.25539,380,0.45
7.28102,348,0.45
7.30405,350,0.45
7.32947,350,0.45
7.35668,350,0.45
7.40544,348,0.45
7.4291,348,0.45
7.47942,348,0.45
7.50538,380,0.45
7.53328,348,0.45
7.57988,380,0.45
7.60428,380,0.45
7.62947,348,0.45
7.65477,348,0.45
7.68041,348,0.45
7.72987,380,0.45
7.75865,348,0.45
7.77943,380,0.45
7.80645,348,0.45
7.8291,348,0.45
7.85381,348,0.45
7.87932,348,0.45
7.90658,380,0.45
7.9293,380,0.45
7.95461,380,0.45
7.98087,348,0.45
8.00717,348,0.45
8.02955,348,0.45
8.05472,380,0.45
8.07951,348,0.45
8.10422,380,0.45
8.12961,380,0.45
8.15805,348,0.45
8.18129,380,0.45
8.21175,380,0.45
8.22857,348,0.45
8.25504,348,0.45
8.27902,348,0.45
8.30587,348,0.45
8.33072,380,0.45
8.35588,348,0.45
8.38436,380,0.45
8.40515,348,0.45
8.43117,380,0.45
8.45566,380,0.45
8.4823,380,0.45
8.50611,380,0.45
8.55654,348,0.45
8.60709,358,0.45
8.6584,359,0.45
8.68141,365,0.45
8.70531,357,0.45
8.73124,357,0.45
8.75671,374,0.45
8.78238,358,0.45
8.83166,357,0.45
8.85923,357,0.45
8.90799,359,0.45
8.93195,359,0.45
8.95628,358,0.45
8.98132,356,0.45
9.05757,356,0.45
9.08135,356,0.45
9.1065,358,0.45
9.13115,356,0.45
9.15714,358,0.45
9.18296,355,0.45
9.20627,355,0.45
9.25776,355,0.45
9.28289,355,0.45
9.30835,355,0.45
9.33183,355,0.45
9.3832,355,0.45
9.40895,482,0.45
9.43226,370,0.45
9.45916,354,0.45
9.48092,354,0.45
9.50533,370,0.45
9.52981,355,0.45
9.55448,370,0.45
9.58052,354,0.45
9.60481,354,0.45
9.6308,353,0.45
9.65533,353,0.45
9.68042,353,0.45
9.70646,353,0.45
9.73206,353,0.45
9.75723,353,0.45
9.7819,369,0.45
9.8078,353,0.45
9.83255,369,0.45
9.85678,353,0.45
9.883,353,0.45
9.93388,352,0.45
9.95703,352,0.45
9.98103,352,0.45
10.0336,352,0.45
10.0828,352,0.45
10.1084,368,0.45
10.1573,352,0.45
10.1827,352,0.45
10.2078,352,0.45
10.2364,383,0.45
10.2576,383,0.45
10.2822,351,0.45
10.307,383,0.45
10.3579,383,0.45
10.3828,383,0.45
10.4081,383,0.45
10.5091,376,0.45
10.5327,367,0.45
10.5565,366,0.45
10.6836,376,0.45
10.709,364,0.45
10.7599,376,0.45
10.7848,359,0.45
10.8359,375,0.45
10.8631,375,0.45
10.8837,359,0.45
10.9096,358,0.45
10.936,374,0.45
10.9609,374,0.45
11.0107,374,0.45
11.0838,357,0.45
11.1094,357,0.45
11.1338,357,0.45
11.1592,373,0.45
11.183,373,0.45
11.209,356,0.45
11.2336,356,0.45
11.284,356,0.45
11.3086,358,0.45
11.3333,356,0.45
11.3594,365,0.45
11.3864,363,0.45
11.4084,382,0.45
11.4343,366,0.45
11.459,368,0.45
11.4848,363,0.45
11.5104,366,0.45
11.5344,364,0.45
11.5605,366,0.45
11.5848,364,0.45
11.6083,363,0.45
11.6601,363,0.45
11.6852,367,0.45
11.7085,366,0.45
11.7609,363,0.45
11.8159,365,0.45
11.8339,365,0.45
11.8596,365,0.45
11.8844,361,0.45
11.9087,360,0.45
11.9355,360,0.45
11.9599,364,0.45
11.9865,364,0.45
12.0122,380,0.45
12.0361,359,0.45
12.0601,375,0.45
12.0838,359,0.45
12.1121,359,0.45
12.1355,359,0.45
12.1597,375,0.45
12.1873,374,0.45
12.2624,502,0.45
12.2852,374,0.45
12.31,358,0.45
12.362,359,0.45
12.3863,375,0.45
12.4362,364,0.45
12.4614,376,0.45
12.4869,359,0.45
12.5117,359,0.45
12.5391,359,0.45
12.5865,359,0.45
12.6083,358,0.45
12.6331,358,0.45
12.6831,359,0.45
12.7089,374,0.45
12.7333,358,0.45
12.758,357,0.45
12.809,359,0.45
12.8345,357,0.45
12.8598,357,0.45
12.8859,357,0.45
12.9354,356,0.45
12.9613,374,0.45
13.0165,356,0.45
13.0366,372,0.45
13.0618,356,0.45
13.0862,371,0.45
13.1373,371,0.45
13.1623,355,0.45
13.1865,355,0.45
13.2114,355,0.45
13.2361,355,0.45
13.261,355,0.45
13.2874,354,0.45
13.3149,354,0.45
13.3372,354,0.45
13.3878,354,0.45
13.4116,354,0.45
13.4372,354,0.45
13.4623,370,0.45
13.487,354,0.45
13.5115,354,0.45
13.5376,353,0.45
13.5644,353,0.45
13.6128,353,0.45
13.6368,353,0.45
13.6864,353,0.45
13.7121,353,0.45
13.7397,353,0.45
13.7612,353,0.45
13.7883,353,0.45
13.8132,353,0.45
13.8635,352,0.45
