time,speed,throttle
0,88,35
0.0485752,87,45
0.073097,86,45
0.123404,93,45
0.147266,93,45
0.174522,97,45
0.198574,97,45
0.227342,97,45
0.250785,102,45
0.281268,102,45
0.30661,123,45
0.323099,107,45
0.348225,112,45
0.374156,112,45
0.398678,118,45
0.454555,119,45
0.50703,126,45
0.548695,131,45
0.573553,131,45
0.607349,127,45
0.648426,134,45
0.674825,134,45
0.705164,134,45
0.724613,139,45
0.749622,138,45
0.799019,138,45
0.826742,138,45
0.849152,141,45
0.898588,143,45
0.930701,147,45
0.959553,147,45
0.978118,150,45
1.02566,148,45
1.04917,151,45
1.07385,151,45
1.09949,151,45
1.1323,150,45
1.14972,150,45
1.17668,216,45
1.19821,152,45
1.22843,151,45
1.25351,158,45
1.27748,158,45
1.29942,150,45
1.32682,157,45
1.35547,157,45
1.37525,159,45
1.40317,155,45
1.42522,219,45
1.47804,158,45
1.49902,222,45
1.52601,154,45
1.55209,155,45
1.60372,147,45
1.64939,219,45
1.67389,143,45
1.70204,143,45
1.72506,155,45
1.75001,153,45
1.77456,157,45
1.80061,153,45
1.82481,153,45
1.88001,153,45
1.90091,153,45
1.92475,154,45
1.95025,153,45
1.97435,153,45
2.00057,218,45
2.02663,219,45
2.07733,151,45
2.1258,155,45
2.14967,157,45
2.17817,153,45
2.20005,156,45
2.25012,155,45
2.27719,150,45
2.30251,152,45
2.33213,152,45
2.35116,215,45
2.37683,149,45
2.40113,145,45
2.42727,143,45
2.45099,143,45
2.47792,139,45
2.50048,138,45
2.52541,144,45
2.60122,143,45
2.62662,143,45
2.65048,208,45
2.67583,142,45
2.70027,140,45
2.7274,207,45
2.75041,141,45
2.77712,202,45
2.80075,142,45
2.82551,140,45
2.90215,139,45
2.93107,139,45
2.95062,210,45
2.97678,150,45
3.00175,150,45
3.02787,146,45
3.05091,155,45
3.10107,217,45
3.25525,187,45
3.30305,165,45
3.3541,190,45
3.4017,184,45
3.43079,188,45
3.4514,168,45
3.47748,172,45
3.51014,173,45
3.52776,167,45
3.55179,169,45
3.57788,185,45
3.60193,167,45
3.62723,163,45
3.65262,163,45
3.67601,176,45
3.70354,161,45
3.7276,161,45
3.75343,154,45
3.77873,152,45
3.80447,156,45
3.82758,144,45
3.85126,144,45
3.88324,140,45
3.91305,142,45
3.92774,139,45
3.95206,152,45
3.97655,216,45
4.00447,155,45
4.02755,158,45
4.07845,159,45
4.10331,152,45
4.12744,152,45
4.15166,149,45
4.23166,142,45
4.25202,140,45
4.27926,141,45
4.33531,131,45
4.35411,131,45
4.40326,199,45
4.45236,123,45
4.47956,123,45
4.50207,124,45
4.52815,124,45
4.55269,119,45
4.60283,114,45
4.62722,114,45
4.65308,114,45
4.703,274,45
4.72822,174,45
4.77869,105,45
4.80433,105,45
4.82754,105,45
4.8536,78,45
4.87827,78,45
4.95349,71,45
5.00405,71,45
