time,speed,throttle
9.53674e-07,182,37
0.026489,182,37
0.051687,179,37
0.0769329,183,37
0.102139,184,37
0.12731,184,37
0.152622,184,37
0.178089,185,37
0.203405,249,37
0.228588,249,37
0.253823,185,37
0.279334,185,37
0.307651,185,37
0.332861,179,37
0.358111,185,37
0.383409,185,37
0.408712,179,37
0.433913,178,37
0.45917,183,37
0.484414,181,37
0.509658,247,37
0.534852,180,37
0.561839,180,37
0.587068,182,37
0.612756,180,37
0.640793,182,37
0.665985,180,37
0.691234,180,37
0.716545,175,37
0.741862,173,37
0.767054,173,37
0.793454,178,37
0.819009,178,37
0.84488,247,37
0.870132,189,37
0.895808,189,37
0.921059,189,37
0.946279,189,37
0.9715,189,37
0.996703,189,37
1.02192,189,37
1.04724,189,37
1.07482,190,37
1.10009,190,37
1.12815,187,37
1.1538,188,37
1.179,187,37
1.20443,187,37
1.22966,181,37
1.25489,181,37
1.28016,183,37
1.30546,183,37
1.33084,183,37
1.35601,183,37
1.38128,183,37
1.40671,189,37
1.43218,185,37
1.45755,185,37
1.4831,185,37
1.5084,187,37
1.53362,192,37
1.55882,192,37
1.58422,251,37
1.6094,187,37
1.63464,187,37
1.65988,187,37
1.68556,187,37
1.7112,187,37
1.7364,187,37
1.76161,183,37
1.78687,182,37
1.81208,183,37
1.83728,175,37
1.86247,233,37
1.8877,171,37
1.91289,171,37
1.9381,176,37
1.96336,176,37
1.98873,176,37
2.01527,176,37
2.04079,174,37
2.06643,189,37
2.09167,177,37
2.11689,177,37
2.14209,177,37
2.16783,177,37
2.19312,175,37
2.21832,176,37
2.24359,176,37
2.26877,176,37
2.29476,176,37
2.32671,176,37
2.35297,176,37
2.37818,239,37
2.40342,175,37
2.43245,188,37
2.45886,183,37
2.48409,183,37
2.50931,158,37
2.5348,158,37
2.55999,162,37
2.5852,166,37
2.61082,166,37
2.63604,166,37
2.66123,166,37
2.68641,166,37
2.7117,166,37
2.73689,182,37
2.76215,162,37
2.78737,168,37
2.81258,172,37
2.84083,166,37
2.86613,230,37
2.89134,177,37
2.91653,158,37
2.94176,158,37
2.96698,158,37
2.99593,222,37
